id,topic,reference,candidate
100,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
101,government,The government announced a new education policy.,The government introduced a new policy for education.
102,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
103,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
104,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
105,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
106,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
107,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
108,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
109,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
110,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
111,government,The government announced a new education policy.,The government introduced a new policy for education.
112,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
113,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
114,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
115,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
116,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
117,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
118,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
119,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
120,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
121,government,The government announced a new education policy.,The government introduced a new policy for education.
122,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
123,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
124,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
125,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
126,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
127,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
128,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
129,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
130,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
131,government,The government announced a new education policy.,The government introduced a new policy for education.
132,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
133,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
134,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
135,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
136,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
137,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
138,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
139,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
140,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
141,government,The government announced a new education policy.,The government introduced a new policy for education.
142,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
143,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
144,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
145,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
146,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
147,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
148,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
149,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
150,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
151,government,The government announced a new education policy.,The government introduced a new policy for education.
152,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
153,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
154,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
155,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
156,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
157,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
158,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
159,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
160,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
161,government,The government announced a new education policy.,The government introduced a new policy for education.
162,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
163,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
164,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
165,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
166,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
167,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
168,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
169,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
170,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
171,government,The government announced a new education policy.,The government introduced a new policy for education.
172,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
173,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
174,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
175,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
176,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
177,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
178,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
179,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
180,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
181,government,The government announced a new education policy.,The government introduced a new policy for education.
182,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
183,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
184,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
185,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
186,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
187,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
188,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
189,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
190,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
191,government,The government announced a new education policy.,The government introduced a new policy for education.
192,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
193,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
194,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
195,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
196,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
197,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
198,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
199,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
200,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
201,government,The government announced a new education policy.,The government introduced a new policy for education.
202,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
203,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
204,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
205,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
206,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
207,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
208,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
209,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
210,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
211,government,The government announced a new education policy.,The government introduced a new policy for education.
212,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
213,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
214,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
215,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
216,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
217,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
218,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
219,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
220,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
221,government,The government announced a new education policy.,The government introduced a new policy for education.
222,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
223,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
224,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
225,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
226,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
227,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
228,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
229,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
230,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
231,government,The government announced a new education policy.,The government introduced a new policy for education.
232,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
233,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
234,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
235,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
236,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
237,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
238,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
239,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
240,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
241,government,The government announced a new education policy.,The government introduced a new policy for education.
242,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
243,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
244,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
245,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
246,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
247,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
248,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
249,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
250,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
251,government,The government announced a new education policy.,The government introduced a new policy for education.
252,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
253,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
254,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
255,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
256,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
257,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
258,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
259,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
260,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
261,government,The government announced a new education policy.,The government introduced a new policy for education.
262,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
263,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
264,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
265,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
266,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
267,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
268,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
269,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
270,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
271,government,The government announced a new education policy.,The government introduced a new policy for education.
272,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
273,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
274,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
275,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
276,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
277,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
278,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
279,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
280,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
281,government,The government announced a new education policy.,The government introduced a new policy for education.
282,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
283,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
284,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
285,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
286,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
287,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
288,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
289,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
290,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
291,government,The government announced a new education policy.,The government introduced a new policy for education.
292,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
293,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
294,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
295,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
296,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
297,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
298,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
299,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
300,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
301,government,The government announced a new education policy.,The government introduced a new policy for education.
302,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
303,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
304,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
305,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
306,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
307,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
308,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
309,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
310,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
311,government,The government announced a new education policy.,The government introduced a new policy for education.
312,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
313,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
314,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
315,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
316,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
317,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
318,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
319,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
320,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
321,government,The government announced a new education policy.,The government introduced a new policy for education.
322,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
323,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
324,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
325,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
326,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
327,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
328,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
329,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
330,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
331,government,The government announced a new education policy.,The government introduced a new policy for education.
332,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
333,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
334,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
335,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
336,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
337,science,Researchers discovered a new method for cleaning polluted water.,Scientists developed a recent technique to purify contaminated water.
338,transport,The railway service added more trains to reduce passenger delays.,Railway authorities introduced additional trains to reduce delays.
339,environment,The city started a campaign to plant more trees.,The city launched an initiative to increase tree planting.
340,education,The university opened a new laboratory for artificial intelligence research.,A new artificial intelligence research laboratory opened at the university.
341,government,The government announced a new education policy.,The government introduced a new policy for education.
342,storm,A major storm affected several coastal cities.,A powerful storm hit coastal regions.
343,technology,The company launched a new smartphone with improved battery life.,A firm released a smartphone with better battery performance.
344,sports,The team won the final match after a closely contested game.,The team secured victory in the final following a tight contest.
345,health,Doctors advised people to exercise regularly and eat a balanced diet.,Medical experts recommended regular exercise and a healthy diet.
346,business,The company reported higher profits during the last quarter.,The firm recorded increased profits in the previous quarter.
